task	suite	variant	text
0	LIBERO-10	original	put the white mug on the left plate and put the yellow and white mug on the right plate
0	LIBERO-10	para1	place the white mug on the left plate and the yellow and white mug on the right plate
0	LIBERO-10	para2	set the white mug down on the left plate, then set the yellow and white mug on the right plate
0	LIBERO-10	para3	the white mug goes on the left plate and the yellow and white mug goes on the right plate
0	LIBERO-10	goal_swap	put both the alphabet soup and the tomato sauce in the basket
1	LIBERO-10	original	put the white mug on the plate and put the chocolate pudding to the right of the plate
1	LIBERO-10	para1	place the white mug on the plate and set the chocolate pudding to the right of the plate
1	LIBERO-10	para2	set the white mug on the plate, then move the chocolate pudding to the plate’s right side
1	LIBERO-10	para3	the white mug goes on the plate and the chocolate pudding goes just right of it
1	LIBERO-10	goal_swap	put both moka pots on the stove
2	LIBERO-10	original	put the yellow and white mug in the microwave and close it
2	LIBERO-10	para1	place the yellow and white mug inside the microwave and shut the door
2	LIBERO-10	para2	set the yellow and white mug in the microwave, then close the microwave
2	LIBERO-10	para3	load the yellow and white mug into the microwave and close it up
2	LIBERO-10	goal_swap	put both the cream cheese box and the butter in the basket
3	LIBERO-10	original	turn on the stove and put the moka pot on it
3	LIBERO-10	para1	switch on the stove and set the moka pot on top of it
3	LIBERO-10	para2	turn the stove on, then place the moka pot onto it
3	LIBERO-10	para3	get the stove running and put the moka pot on the burner
3	LIBERO-10	goal_swap	put the black bowl in the bottom drawer of the cabinet and close it
4	LIBERO-10	original	put both the alphabet soup and the cream cheese box in the basket
4	LIBERO-10	para1	place both the alphabet soup and the cream cheese box into the basket
4	LIBERO-10	para2	put the alphabet soup in the basket and the cream cheese box as well
4	LIBERO-10	para3	the alphabet soup and the cream cheese box both go in the basket
4	LIBERO-10	goal_swap	pick up the book and place it in the back compartment of the caddy
5	LIBERO-10	original	put both the alphabet soup and the tomato sauce in the basket
5	LIBERO-10	para1	place both the alphabet soup and the tomato sauce into the basket
5	LIBERO-10	para2	put the alphabet soup in the basket and the tomato sauce as well
5	LIBERO-10	para3	the alphabet soup and the tomato sauce both go in the basket
5	LIBERO-10	goal_swap	put the white mug on the left plate and put the yellow and white mug on the right plate
6	LIBERO-10	original	put both moka pots on the stove
6	LIBERO-10	para1	place both moka pots onto the stove
6	LIBERO-10	para2	set the two moka pots on the stove
6	LIBERO-10	para3	both of the moka pots go on the stove
6	LIBERO-10	goal_swap	put the white mug on the plate and put the chocolate pudding to the right of the plate
7	LIBERO-10	original	put both the cream cheese box and the butter in the basket
7	LIBERO-10	para1	place both the cream cheese box and the butter into the basket
7	LIBERO-10	para2	put the cream cheese box in the basket and the butter as well
7	LIBERO-10	para3	the cream cheese box and the butter both go in the basket
7	LIBERO-10	goal_swap	put the yellow and white mug in the microwave and close it
8	LIBERO-10	original	put the black bowl in the bottom drawer of the cabinet and close it
8	LIBERO-10	para1	place the black bowl into the bottom drawer of the cabinet and shut it
8	LIBERO-10	para2	set the black bowl in the cabinet’s bottom drawer, then close the drawer
8	LIBERO-10	para3	stow the black bowl in the bottom cabinet drawer and close it up
8	LIBERO-10	goal_swap	turn on the stove and put the moka pot on it
9	LIBERO-10	original	pick up the book and place it in the back compartment of the caddy
9	LIBERO-10	para1	take the book and place it into the back compartment of the caddy
9	LIBERO-10	para2	grab the book and set it in the caddy’s rear compartment
9	LIBERO-10	para3	lift the book and drop it into the back slot of the caddy
9	LIBERO-10	goal_swap	put both the alphabet soup and the cream cheese box in the basket
10	LIBERO-Goal	original	put the bowl on the plate
10	LIBERO-Goal	para1	place the bowl onto the plate
10	LIBERO-Goal	para2	set the bowl down on the plate
10	LIBERO-Goal	para3	move the bowl so it rests on the plate
10	LIBERO-Goal	goal_swap	push the plate to the front of the stove
11	LIBERO-Goal	original	put the wine bottle on the rack
11	LIBERO-Goal	para1	place the wine bottle onto the rack
11	LIBERO-Goal	para2	set the wine bottle down on the rack
11	LIBERO-Goal	para3	move the wine bottle so it sits on the rack
11	LIBERO-Goal	goal_swap	turn on the stove
12	LIBERO-Goal	original	open the top drawer and put the bowl inside
12	LIBERO-Goal	para1	pull open the top drawer and place the bowl in it
12	LIBERO-Goal	para2	open up the top drawer, then set the bowl inside
12	LIBERO-Goal	para3	slide the top drawer open and put the bowl in there
12	LIBERO-Goal	goal_swap	put the bowl on the stove
13	LIBERO-Goal	original	put the cream cheese in the bowl
13	LIBERO-Goal	para1	place the cream cheese into the bowl
13	LIBERO-Goal	para2	set the cream cheese down inside the bowl
13	LIBERO-Goal	para3	drop the cream cheese in the bowl
13	LIBERO-Goal	goal_swap	put the bowl on top of the cabinet
14	LIBERO-Goal	original	put the wine bottle on top of the cabinet
14	LIBERO-Goal	para1	place the wine bottle on the cabinet’s top surface
14	LIBERO-Goal	para2	set the wine bottle down on top of the cabinet
14	LIBERO-Goal	para3	move the wine bottle up onto the cabinet
14	LIBERO-Goal	goal_swap	open the middle drawer of the cabinet
15	LIBERO-Goal	original	push the plate to the front of the stove
15	LIBERO-Goal	para1	slide the plate toward the front of the stove
15	LIBERO-Goal	para2	shove the plate up to the stove’s front
15	LIBERO-Goal	para3	move the plate forward so it sits at the front of the stove
15	LIBERO-Goal	goal_swap	put the bowl on the plate
16	LIBERO-Goal	original	turn on the stove
16	LIBERO-Goal	para1	switch the stove on
16	LIBERO-Goal	para2	get the stove running
16	LIBERO-Goal	para3	flip the stove on
